month,training_id,training_name,training_description,scenario_id,situation,customer_says,key_insight,choice_a_text,choice_a_score,choice_a_explanation,choice_b_text,choice_b_score,choice_b_explanation,choice_c_text,choice_c_score,choice_c_explanation,choice_d_text,choice_d_score,choice_d_explanation
March 2026,1,Phone Skills,Control the call and gather information efficiently,1,Phone call,"Yeah I need a part.","When a caller is vague, take control by asking a specific question. 'What machine is it for?' gets you started without making them feel interrogated.","What part do you need?",good,"This might get you more info, but vague callers often stay vague. A specific question like 'what machine?' anchors the conversation.","What machine is it for?",best,"This takes control of the call. Once you have the machine, you can guide them through what they need. You're helping them help you.","Can you be more specific?",bad,"This can sound frustrated or impatient. The caller might not know how to be more specific. Give them something concrete to answer.","Let me transfer you to someone who can help.",good,"Sometimes this is necessary, but try to gather basic info first. You might be able to help, and the next person will appreciate having machine info."
March 2026,1,Phone Skills,Control the call and gather information efficiently,2,Phone call,"I'm not sure what I need. Something's leaking.","Leaks require troubleshooting. Ask WHERE it's leaking to narrow down the system — hydraulic, coolant, fuel, etc. Location tells you what parts to look at.","What color is the fluid?",better,"Color helps identify the system — red/clear is usually hydraulic, green is coolant, diesel smells obvious. Good diagnostic question.","Where on the machine is it leaking from?",best,"Location narrows it down fast. Under the hood vs. under the cab vs. at the boom tells you which system. Then you can ask about color or smell to confirm.","What kind of machine is it?",good,"You need the machine eventually, but 'something's leaking' needs more info first. Location and fluid type help you know what you're looking for.","You'll probably need to bring it in for service.",good,"Sometimes true for complex leaks. But gathering info first — location, fluid type, machine — helps them decide if it's something simple they can fix."
March 2026,1,Phone Skills,Control the call and gather information efficiently,3,Phone call,"(sounds rushed) I need this part NOW. Do you have it or not?","Rushed callers need efficiency, not pushback. Get the key info fast — part number or machine — then give them a straight answer.","I understand. What's the part number or machine model?",best,"You acknowledged the urgency and asked for exactly what you need. No wasted words. Get the info, check stock, give them an answer.","Okay, calm down. What do you need?",bad,"'Calm down' never calms anyone down. It dismisses their urgency. Stay professional and move quickly to help them.","Let me look that up. Can you hold?",good,"Puts them on hold without getting info first. Get the part number or machine, THEN put them on hold to check. Saves time for both of you.","We're pretty busy right now. Can you call back?",bad,"This loses the sale and damages the relationship. Busy or not, help the customer in front of you (or on the phone)."
March 2026,1,Phone Skills,Control the call and gather information efficiently,4,Phone call,"I called earlier and talked to someone else. They were supposed to order something.","When following up on someone else's order, get the customer name or account first. You can look up what was discussed and pick up where they left off.","What's your name or account number? I'll pull up the order.",best,"This gets you into the system where you can see what was ordered, when, and the status. You're not starting from scratch.","What did you order?",good,"They might remember, but if the other person took notes in the system, looking it up is faster and more accurate.","Who did you talk to?",good,"Might help you find the order or ask that person. But customer name/account gets you to the same place faster.","I don't see anything. Are you sure you called us?",bad,"This sounds accusatory. Orders get missed sometimes. Start by looking it up properly before suggesting they're wrong."
March 2026,1,Phone Skills,Control the call and gather information efficiently,5,Phone call,"(background noise, hard to hear) ...filter... machine...","When you can't hear clearly, say so politely and ask them to repeat. Don't guess — wrong parts waste everyone's time.","I'm sorry, I'm having trouble hearing you. Can you say that again?",best,"Honest and polite. Better to ask them to repeat than to guess wrong and order the wrong part.","Did you say fuel filter?",better,"You're confirming what you think you heard. Good if you're pretty sure. If you're not sure at all, just ask them to repeat.","Let me put you on hold while I check.",good,"Check what? You don't have the info yet. Get the details first, then check stock or pricing.","Can you call back from a better location?",good,"Sometimes necessary if it's really bad. But try to get the info first — they might not call back, or they might call a competitor."
March 2026,1,Phone Skills,Control the call and gather information efficiently,6,Phone call,"I need to check on a warranty claim I submitted.","Warranty claims need to be looked up by customer or claim number. Get the identifier first so you can pull up the details.","What's your name or the claim number?",best,"Gets you into the system to find their specific claim. Then you can give them accurate status information.","When did you submit it?",good,"Helps narrow it down, but name or claim number is more direct. Date is useful if they don't have the claim number.","What was wrong with the part?",good,"Might help you find it, but customer name is faster. The system tracks claims by customer, not by problem description.","Warranty takes 4-6 weeks. Just wait.",bad,"Dismissive and possibly wrong. Look up their specific claim — it might be approved, denied, or need additional info. Give them real status."
March 2026,1,Phone Skills,Control the call and gather information efficiently,7,Phone call,"Do you guys do hydraulic hoses?","Yes/no questions deserve yes/no answers — then follow up. Don't just say yes and wait. Move the conversation forward.","Yes we do. Do you need one made up?",best,"Answered the question and moved forward. Now you're finding out what they actually need — repair, custom hose, pre-made, etc.","Yes.",good,"Technically correct but dead-ends the conversation. They have to ask the next question. Take the lead.","What kind of hose?",better,"Good follow-up question, but you skipped confirming you do hoses. 'Yes, what kind do you need?' covers both.","Depends. What do you need it for?",good,"'Depends' sounds uncertain. You do make hoses. Say yes, then ask about their specific need."
March 2026,1,Phone Skills,Control the call and gather information efficiently,8,Phone call,"I bought a part last week and it's not working.","Returns and defective parts need the order pulled up first. Get their name or invoice number to see what they bought and when.","Sorry to hear that. What's your name or invoice number?",best,"Acknowledges the problem and gets you into the system. Once you see the order, you can discuss return, exchange, or troubleshooting.","What's wrong with it?",better,"Good to understand the issue, but you need to find the order first to know what part they have and what the options are.","Did you install it correctly?",bad,"Sounds accusatory. Maybe they did install it wrong, but starting there puts them on the defensive. Look up the order first, then troubleshoot.","We don't do returns on electrical parts.",good,"Might be true for some parts, but you don't know what they bought yet. Look it up first — it might be a different part or qualify for warranty."
March 2026,1,Phone Skills,Control the call and gather information efficiently,9,Phone call,"What are your hours?","Simple questions deserve simple answers. Give them the info directly, then offer to help with anything else.","We're open 7 to 5, Monday through Friday. Can I help you with anything?",best,"Answered the question and opened the door for more. Maybe they're planning to come in, or maybe they have a parts question too.","What location are you asking about?",better,"Fair question if you have multiple locations. But if it's obvious which one they called, just give the hours.","Check the website.",bad,"Unhelpful and dismissive. You know the hours. Tell them.","7 to 5.",good,"Correct, but incomplete. Days of the week matter. And offering to help with anything else is good customer service."
March 2026,1,Phone Skills,Control the call and gather information efficiently,10,Phone call,"I need to talk to someone in parts.","You ARE someone in parts. Don't transfer unless there's a reason. Find out what they need — you can probably help.","This is parts. What can I help you with?",best,"You identified yourself and moved forward. No unnecessary transfer. You're ready to help.","Speaking. What do you need?",better,"Gets the job done, though 'This is parts, how can I help?' is slightly warmer.","Hold on, let me transfer you.",bad,"Transfer to where? You're in parts. Unless they need someone specific, you should help them.","Who are you looking for?",good,"Sometimes they want a specific person. But if not, this delays helping them. 'This is parts' answers their question."
March 2026,2,Handling Stockouts,Keep the sale when the part isn't on the shelf,11,Counter sale,"(part not in stock) Can you get it?","When you don't have it in stock, immediately pivot to the solution. How fast can you get it? Give them a timeline and an offer to order.","I can have it here tomorrow by 10 AM. Want me to order it?",best,"You turned a stockout into an order. Tomorrow by 10 is specific. They can plan around that. Action-oriented.","Let me check if we can get it.",good,"Shows willingness to help, but 'let me check' leaves them waiting. If you know your lead times, give them an answer.","Sorry, we're out of stock.",bad,"This ends the conversation. No solution, no alternative. The customer leaves with nothing, and you lost a sale.","Try our other location.",good,"Worth mentioning if another branch has it. But check availability first, and offer to order if they'd rather come back to you."
